,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,lai,9.4,16.3,92.98,40,90,5.82,TD,1590600180
331,yeppoon,-23.13,150.73,51.8,87,0,3.27,AU,1590600180
332,sale,34.04,-6.82,73.4,73,0,9.17,MA,1590599989
333,bathsheba,13.22,-59.52,87.8,66,40,18.34,BB,1590600181
334,quesnel,53.0,-122.5,53.6,50,1,2.24,CA,1590600182
335,bonthe,7.53,-12.51,82.62,77,100,9.31,SL,1590600182
336,cabo san lucas,22.89,-109.91,82.0,47,5,6.22,MX,1590600182
337,turukhansk,65.82,87.98,39.96,69,5,8.03,RU,1590600183
338,benjamin constant,-4.38,-70.03,84.2,88,40,3.36,BR,1590600183
339,los llanos de aridane,28.66,-17.92,75.0,73,1,4.7,ES,1590600184
340,raga,8.46,25.68,83.07,54,89,5.12,SS,1590600184
341,provideniya,64.38,-173.3,34.0,95,100,13.35,RU,1590600185
342,kolyvan,55.31,82.74,44.6,81,75,4.47,RU,1590600185
343,taganak,6.08,118.3,80.6,88,20,8.97,PH,1590600186
344,komsomolskiy,40.43,71.72,82.4,48,0,4.7,UZ,1590600186
345,labuhan,-6.88,112.21,80.4,82,94,4.52,ID,1590600187
346,nizhniy kuranakh,58.84,125.49,57.2,60,100,1.79,RU,1590600187
347,rio cuarto,-33.13,-64.35,71.6,24,0,13.87,AR,1590600187
348,santa clara,22.4,-79.97,91.4,55,40,6.93,CU,1590600088
349,paamiut,61.99,-49.67,35.82,89,95,5.84,GL,1590600189
350,herbrechtingen,48.62,10.18,66.99,42,2,1.99,DE,1590600174
351,whitehorse,60.72,-135.05,46.99,45,40,4.7,CA,1590600127
352,kieta,-6.22,155.63,80.22,74,82,3.49,PG,1590600190
353,comodoro rivadavia,-45.87,-67.5,57.2,44,16,17.22,AR,1590600006
354,oranjemund,-28.55,16.43,56.46,67,1,13.33,NA,1590600191
355,pahrump,36.21,-115.98,96.01,15,0,1.99,US,1590600192
356,ardmore,34.17,-97.14,77.0,50,40,3.04,US,1590600192
357,merritt island,28.54,-80.67,84.2,83,90,8.05,US,1590600192
358,nelson bay,-32.72,152.15,55.0,100,35,5.82,AU,1590600193
359,bilibino,68.05,166.44,32.88,87,12,2.51,RU,1590600193
360,ndioum,16.51,-14.65,114.8,15,5,5.59,SN,1590600194
361,cao bang,22.67,106.25,72.73,73,43,2.19,VN,1590600194
362,camacha,33.08,-16.33,68.0,68,20,12.75,PT,1590600195
